"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4838","TestFact","Default Suite","Wed Feb 12 14:42:18 EET 2025","passed","Wed Feb 12 14:42:23 EET 2025","First_Class_Test","API Project","First_Class_Test","TestFact"
"","1266","TestCase1","Default Suite","Wed Feb 12 18:36:37 EET 2025","passed","Wed Feb 12 18:36:39 EET 2025","Test.DELETE_USER","API Project","Test.DELETE_USER","TestCase1"
"","1320","TestCase1","Default Suite","Wed Feb 12 18:49:51 EET 2025","passed","Wed Feb 12 18:49:53 EET 2025","Test.POST_LOGIN","API Project","Test.POST_LOGIN","TestCase1"
"","1643","TestCat1","Default Suite","Wed Feb 12 16:25:13 EET 2025","passed","Wed Feb 12 16:25:14 EET 2025","Test.GET_RESOURCE","API Project","Test.GET_RESOURCE","TestCat1"
"","1658","TestCase2","Default Suite","Wed Feb 12 18:31:33 EET 2025","failed","Wed Feb 12 18:31:35 EET 2025","Test.GET_Users","API Project","Test.GET_Users","TestCase2"
"","1606","TestCat2","Default Suite","Wed Feb 12 16:17:07 EET 2025","failed","Wed Feb 12 16:17:09 EET 2025","Test.First_Class_Test","API Project","Test.First_Class_Test","TestCat2"
"","1304","TestCat1","Default Suite","Wed Feb 12 18:23:13 EET 2025","passed","Wed Feb 12 18:23:14 EET 2025","Test.POST_User","API Project","Test.POST_User","TestCat1"
"","1329","TestCase1","Default Suite","Wed Feb 12 18:30:08 EET 2025","passed","Wed Feb 12 18:30:09 EET 2025","Test.POST_User","API Project","Test.POST_User","TestCase1"
"","1717","TestCat2","Default Suite","Wed Feb 12 18:26:08 EET 2025","failed","Wed Feb 12 18:26:10 EET 2025","Test.GET_RESOURCE","API Project","Test.GET_RESOURCE","TestCat2"
"","1716","TestCase1","Default Suite","Wed Feb 12 18:47:14 EET 2025","failed","Wed Feb 12 18:47:16 EET 2025","Test.POST_REGISTER","API Project","Test.POST_REGISTER","TestCase1"
"","1286","TestCase1","Default Suite","Wed Feb 12 18:32:28 EET 2025","passed","Wed Feb 12 18:32:30 EET 2025","Test.PATCH_USER","API Project","Test.PATCH_USER","TestCase1"
"","1582","TestCat3","Default Suite","Wed Feb 12 16:19:12 EET 2025","failed","Wed Feb 12 16:19:14 EET 2025","Test.First_Class_Test","API Project","Test.First_Class_Test","TestCat3"
"","1902","TestFact","Default Suite","Wed Feb 12 15:11:11 EET 2025","passed","Wed Feb 12 15:11:13 EET 2025","Test.First_Class_Test","API Project","Test.First_Class_Test","TestFact"
"","1699","TestCase1","Default Suite","Wed Feb 12 18:31:52 EET 2025","passed","Wed Feb 12 18:31:54 EET 2025","Test.GET_Users","API Project","Test.GET_Users","TestCase1"
"","1648","testCreateUser","Default Suite","Wed Feb 12 16:42:46 EET 2025","failed","Wed Feb 12 16:42:47 EET 2025","Test.POST_User","API Project","Test.POST_User","testCreateUser"
